pow: 5, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [86.8925981]
pow: 5, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [82.01493997]
pow: 5, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [80.20404726]
pow: 5, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [90.65000271]
pow: 5, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [68.46319098]
pow: 5, freq: 9, 1 freq. peaks: [5530000.], peaks prominence: [23403.57924923]
pow: 5, freq: 10, 1 freq. peaks: [5260000.], peaks prominence: [16507.13068955]
pow: 5, freq: 11, 1 freq. peaks: [4830000.], peaks prominence: [23962.95171754]
pow: 5, freq: 12, 1 freq. peaks: [4200000.], peaks prominence: [11881.20494979]
pow: 5, freq: 13, 1 freq. peaks: [4130000.], peaks prominence: [117.94297099]
pow: 5, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [67.64416088]
pow: 5, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [78.01644036]
pow: 5, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [40.53344355]
pow: 5, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [40.03000744]
pow: 6, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [75.56288988]
pow: 6, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [40.85656555]
pow: 6, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [75.47334003]
pow: 6, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [67.93378609]
pow: 6, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [71.21937199]
pow: 6, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [69.13145927]
pow: 6, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [71.67242791]
pow: 6, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [41.17229559]
pow: 6, freq: 9, 1 freq. peaks: [5360000.], peaks prominence: [17961.66259346]
pow: 6, freq: 10, 1 freq. peaks: [5070000.], peaks prominence: [18445.41750558]
pow: 6, freq: 11, 1 freq. peaks: [4620000.], peaks prominence: [24411.97795595]
pow: 6, freq: 12, 1 freq. peaks: [3960000.], peaks prominence: [18068.72580579]
pow: 6, freq: 13, 1 freq. peaks: [4130000.], peaks prominence: [10926.4301178]
pow: 6, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [74.05387201]
pow: 6, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [46.6728195]
pow: 6, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [41.70800925]
pow: 6, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [77.23621709]
pow: 7, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [92.72561501]
pow: 7, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [87.302274]
pow: 7, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [74.4214018]
pow: 7, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [81.77663897]
pow: 7, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [79.84207447]
pow: 7, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [76.53624417]
pow: 7, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [82.86907578]
pow: 7, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [85.79867569]
pow: 7, freq: 9, 1 freq. peaks: [5180000.], peaks prominence: [20428.54200975]
pow: 7, freq: 10, 1 freq. peaks: [4860000.], peaks prominence: [19529.11878245]
