pow: 5, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [3.30391491]
pow: 5, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [4.4780242]
pow: 5, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [4.28934576]
pow: 5, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [4.15334225]
pow: 5, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [4.04179165]
pow: 5, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [3.67283163]
pow: 5, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [4.14675012]
pow: 5, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [4.19969074]
pow: 5, freq: 9, 1 freq. peaks: [5530000.], peaks prominence: [1026.40655936]
pow: 5, freq: 10, 1 freq. peaks: [5260000.], peaks prominence: [1186.12768883]
pow: 5, freq: 11, 1 freq. peaks: [4830000.], peaks prominence: [1115.60770655]
pow: 5, freq: 12, 1 freq. peaks: [4200000.], peaks prominence: [682.50821525]
pow: 5, freq: 13, 1 freq. peaks: [4130000.], peaks prominence: [2.52831686]
pow: 5, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [1.89672857]
pow: 5, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [2.01726085]
pow: 5, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [3.75439867]
pow: 5, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.51000957]
pow: 6, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [4.17691774]
pow: 6, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [4.55256061]
pow: 6, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [4.36673403]
pow: 6, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [3.96189797]
pow: 6, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [4.40393457]
pow: 6, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [4.20680038]
pow: 6, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [3.68581981]
pow: 6, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [4.39911171]
pow: 6, freq: 9, 1 freq. peaks: [5360000.], peaks prominence: [1574.48604767]
pow: 6, freq: 10, 1 freq. peaks: [5070000.], peaks prominence: [1355.0816504]
pow: 6, freq: 11, 1 freq. peaks: [4620000.], peaks prominence: [1191.51693843]
pow: 6, freq: 12, 1 freq. peaks: [3960000.], peaks prominence: [1100.98377094]
pow: 6, freq: 13, 1 freq. peaks: [4130000.], peaks prominence: [256.63831548]
pow: 6, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [4.06899706]
pow: 6, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [4.27651753]
pow: 6, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [4.09059818]
pow: 6, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.0498335]
pow: 7, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [8.56066475]
pow: 7, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [4.6519326]
pow: 7, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [4.60390402]
pow: 7, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [4.32728533]
pow: 7, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [3.67200384]
pow: 7, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [4.48997021]
pow: 7, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [4.23249279]
pow: 7, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [4.11979892]
pow: 7, freq: 9, 1 freq. peaks: [5180000.], peaks prominence: [1839.95314048]
pow: 7, freq: 10, 1 freq. peaks: [4860000.], peaks prominence: [1463.44440422]
pow: 7, freq: 11, 1 freq. peaks: [4390000.], peaks prominence: [1578.77607274]
pow: 7, freq: 12, 1 freq. peaks: [3780000.], peaks prominence: [920.64724232]
pow: 7, freq: 13, 1 freq. peaks: [3550000.], peaks prominence: [468.63455419]
pow: 7, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [4.41205722]
pow: 7, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [3.83125698]
pow: 7, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [4.32464553]
pow: 7, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.00794706]
pow: 8, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [8.68387584]
pow: 8, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [8.40208392]
pow: 8, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [8.02367405]
