pow: 4, freq: 10, 1 freq. peaks: [20000.], peaks prominence: [1.68311829]
pow: 4, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [1.43564697]
pow: 4, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [1.50667498]
pow: 4, freq: 13, 1 freq. peaks: [20000.], peaks prominence: [1.23989362]
pow: 4, freq: 14, 1 freq. peaks: [940000.], peaks prominence: [422.15701475]
pow: 4, freq: 15, 1 freq. peaks: [11820000.], peaks prominence: [768.91959168]
pow: 4, freq: 16, 1 freq. peaks: [6370000.], peaks prominence: [641.95105788]
pow: 4, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [1.90395821]
pow: 4, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [1.97811637]
pow: 4, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [3.09750128]
pow: 4, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [3.73249658]
pow: 4, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [3.40933756]
pow: 5, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [1.82112683]
pow: 5, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [3.35375478]
pow: 5, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [3.51751494]
pow: 5, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [3.71305404]
pow: 5, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [3.57766606]
pow: 5, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [3.47281176]
pow: 5, freq: 7, 1 freq. peaks: [4730000.], peaks prominence: [576.63714592]
pow: 5, freq: 8, 1 freq. peaks: [8370000.], peaks prominence: [321.62620911]
pow: 5, freq: 9, 1 freq. peaks: [10160000.], peaks prominence: [127.63643231]
pow: 5, freq: 10, 1 freq. peaks: [5790000.], peaks prominence: [4.95910739]
pow: 5, freq: 11, 1 freq. peaks: [5970000.], peaks prominence: [22.9545291]
pow: 5, freq: 12, 1 freq. peaks: [5850000.], peaks prominence: [38.19536152]
pow: 5, freq: 13, 1 freq. peaks: [1030000.], peaks prominence: [509.76867307]
pow: 5, freq: 14, 1 freq. peaks: [14190000.], peaks prominence: [1044.49519011]
pow: 5, freq: 15, 1 freq. peaks: [9650000.], peaks prominence: [1210.30409729]
pow: 5, freq: 16, 1 freq. peaks: [5820000.], peaks prominence: [776.25734195]
pow: 5, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.06082532]
pow: 5, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [4.08445249]
pow: 5, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [3.9777419]
pow: 5, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [3.71375561]
pow: 5, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [4.12217276]
pow: 6, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [3.84857192]
pow: 6, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [4.20133951]
pow: 6, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [3.65107298]
pow: 6, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [3.7324881]
pow: 6, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [3.70575506]
pow: 6, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [4.11291204]
pow: 6, freq: 7, 1 freq. peaks: [4540000.], peaks prominence: [709.76334174]
pow: 6, freq: 8, 1 freq. peaks: [8310000.], peaks prominence: [370.49750291]
pow: 6, freq: 9, 1 freq. peaks: [9790000.], peaks prominence: [105.29433282]
pow: 6, freq: 10, 1 freq. peaks: [5450000.], peaks prominence: [8.21593877]
pow: 6, freq: 11, 1 freq. peaks: [5550000.], peaks prominence: [28.24972807]
pow: 6, freq: 12, 1 freq. peaks: [5230000.], peaks prominence: [112.51853832]
pow: 6, freq: 13, 1 freq. peaks: [16130000.], peaks prominence: [981.60547198]
pow: 6, freq: 14, 1 freq. peaks: [11970000.], peaks prominence: [1515.77352719]
pow: 6, freq: 15, 1 freq. peaks: [8320000.], peaks prominence: [1391.95092251]
pow: 6, freq: 16, 1 freq. peaks: [5310000.], peaks prominence: [1226.73964467]
pow: 6, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [3.15435227]
pow: 6, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [3.81524107]
pow: 6, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [3.83438496]
pow: 6, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [4.11124102]
pow: 6, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [3.97198033]
pow: 7, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [3.49145721]
pow: 7, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [3.54302092]
pow: 7, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [3.74619799]
pow: 7, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [3.90933412]
pow: 7, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [4.138906]
pow: 7, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [3.32555918]
pow: 7, freq: 7, 1 freq. peaks: [4300000.], peaks prominence: [645.87179834]
pow: 7, freq: 8, 1 freq. peaks: [8400000.], peaks prominence: [406.15972776]
pow: 7, freq: 9, 1 freq. peaks: [4790000.], peaks prominence: [93.24403499]
pow: 7, freq: 10, 1 freq. peaks: [5190000.], peaks prominence: [6.57020279]
pow: 7, freq: 11, 1 freq. peaks: [10280000.], peaks prominence: [52.86316198]
pow: 7, freq: 12, 1 freq. peaks: [1580000.], peaks prominence: [353.03385254]
pow: 7, freq: 13, 1 freq. peaks: [13550000.], peaks prominence: [994.65808781]
pow: 7, freq: 14, 1 freq. peaks: [10360000.], peaks prominence: [1440.59629153]
pow: 7, freq: 15, 1 freq. peaks: [7400000.], peaks prominence: [1347.51411122]
pow: 7, freq: 16, 1 freq. peaks: [4950000.], peaks prominence: [1258.55243542]
pow: 7, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [3.7961622]
pow: 7, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [3.97478175]
pow: 7, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [3.64377566]
pow: 7, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [3.92404662]
pow: 7, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [4.02304423]
pow: 8, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [3.67997341]
pow: 8, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [3.82478679]
pow: 8, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [3.82392789]
pow: 8, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [3.7994177]
pow: 8, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [3.69160959]
pow: 8, freq: 6, 1 freq. peaks: [4480000.], peaks prominence: [1266.10284395]
pow: 8, freq: 7, 1 freq. peaks: [4070000.], peaks prominence: [959.85237287]
pow: 8, freq: 8, 1 freq. peaks: [9040000.], peaks prominence: [234.18895816]
pow: 8, freq: 9, 1 freq. peaks: [4760000.], peaks prominence: [99.21105146]
pow: 8, freq: 10, 1 freq. peaks: [4980000.], peaks prominence: [16.93818904]
pow: 8, freq: 11, 1 freq. peaks: [9570000.], peaks prominence: [58.59437869]
pow: 8, freq: 12, 1 freq. peaks: [15170000.], peaks prominence: [1136.31317055]
pow: 8, freq: 13, 1 freq. peaks: [11370000.], peaks prominence: [1319.45296932]
