pow: 1, freq: 1, 1 freq. peaks: [4.8193e+08], peaks prominence: [9.94311569]
pow: 1, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [18.11573701]
pow: 1, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [19.06883865]
pow: 1, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [15.60235821]
pow: 1, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [19.75565989]
pow: 1, freq: 6, 1 freq. peaks: [4.6585e+08], peaks prominence: [9.76860344]
pow: 1, freq: 7, 1 freq. peaks: [4.9319e+08], peaks prominence: [9.35099264]
pow: 1, freq: 8, 1 freq. peaks: [4.6678e+08], peaks prominence: [10.01913901]
pow: 1, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [19.80670055]
pow: 1, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [18.93943749]
pow: 1, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [32.74556844]
pow: 1, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [34.98901452]
pow: 1, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [38.58957372]
pow: 1, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [13.57193669]
pow: 1, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [15.23333004]
pow: 1, freq: 16, 1 freq. peaks: [4.859e+08], peaks prominence: [9.47836543]
pow: 1, freq: 17, 1 freq. peaks: [4.9825e+08], peaks prominence: [10.40280899]
pow: 1, freq: 18, 1 freq. peaks: [4.9078e+08], peaks prominence: [10.35281176]
pow: 1, freq: 19, 1 freq. peaks: [4.922e+08], peaks prominence: [9.89835046]
pow: 1, freq: 20, 1 freq. peaks: [4.9778e+08], peaks prominence: [9.68225697]
pow: 1, freq: 21, 1 freq. peaks: [4.8657e+08], peaks prominence: [9.0699165]
pow: 2, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [19.36814673]
pow: 2, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [31.52477828]
pow: 2, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [35.839978]
pow: 2, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [36.53467285]
pow: 2, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [35.38935987]
pow: 2, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [15.36973581]
pow: 2, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [17.68211041]
pow: 2, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [37.51638944]
pow: 2, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [31.23700483]
pow: 2, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [40.59937223]
pow: 2, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [36.43918667]
pow: 2, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [39.59073406]
pow: 2, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [39.05187989]
pow: 2, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [31.23889237]
pow: 2, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [36.41435136]
pow: 2, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [15.91651682]
pow: 2, freq: 17, 1 freq. peaks: [4.7362e+08], peaks prominence: [10.67655115]
pow: 2, freq: 18, 1 freq. peaks: [4.9127e+08], peaks prominence: [10.62864677]
pow: 2, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [17.17239044]
pow: 2, freq: 20, 1 freq. peaks: [4.9609e+08], peaks prominence: [8.71012103]
pow: 2, freq: 21, 1 freq. peaks: [4.7453e+08], peaks prominence: [10.83259255]
pow: 3, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [34.18904542]
pow: 3, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [41.28594865]
pow: 3, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [37.83085529]
pow: 3, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [38.68959227]
pow: 3, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [81.15464287]
pow: 3, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [35.63634015]
pow: 3, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [33.16966768]
pow: 3, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [63.33331755]
pow: 3, freq: 9, 1 freq. peaks: [5520000.], peaks prominence: [18170.47851299]
pow: 3, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [40.3788132]
pow: 3, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [62.57543621]
pow: 3, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [69.84929109]
pow: 3, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [37.58885788]
pow: 3, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [32.04891719]
pow: 3, freq: 15, 1 freq. peaks: [830000.], peaks prominence: [4886.06223909]
pow: 3, freq: 16, 1 freq. peaks: [5560000.], peaks prominence: [78.35459024]
pow: 3, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [34.59970043]
pow: 3, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [18.98435301]
pow: 3, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [20.84468519]
pow: 3, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [17.47682568]
pow: 3, freq: 21, 1 freq. peaks: [4.8506e+08], peaks prominence: [10.27259539]
pow: 4, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [39.17171601]
pow: 4, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [74.51544987]
pow: 4, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [65.37877487]
pow: 4, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [71.22090983]
pow: 4, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [79.5059381]
pow: 4, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [39.24354904]
pow: 4, freq: 7, 1 freq. peaks: [9590000.], peaks prominence: [3240.93897]
pow: 4, freq: 8, 1 freq. peaks: [9580000.], peaks prominence: [5475.83722503]
pow: 4, freq: 9, 1 freq. peaks: [5370000.], peaks prominence: [19692.61807507]
pow: 4, freq: 10, 1 freq. peaks: [6140000.], peaks prominence: [10294.19300801]
pow: 4, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [68.2747116]
pow: 4, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [69.43937174]
pow: 4, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [35.75653355]
pow: 4, freq: 14, 1 freq. peaks: [940000.], peaks prominence: [6966.80933618]
pow: 4, freq: 15, 1 freq. peaks: [11820000.], peaks prominence: [21605.91770101]
pow: 4, freq: 16, 1 freq. peaks: [6370000.], peaks prominence: [17325.24725959]
pow: 4, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [36.09420787]
pow: 4, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [35.68186782]
pow: 4, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [17.46174218]
pow: 4, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [18.99343489]
pow: 4, freq: 21, 1 freq. peaks: [4.7091e+08], peaks prominence: [9.77093858]
pow: 5, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [64.60479381]
pow: 5, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [76.65922263]
pow: 5, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [74.42095459]
pow: 5, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [66.94282237]
pow: 5, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [78.4794815]
pow: 5, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [65.88800215]
pow: 5, freq: 7, 1 freq. peaks: [9470000.], peaks prominence: [5970.95450976]
pow: 5, freq: 8, 1 freq. peaks: [4190000.], peaks prominence: [13447.71985173]
pow: 5, freq: 9, 1 freq. peaks: [5080000.], peaks prominence: [34671.27531388]
pow: 5, freq: 10, 1 freq. peaks: [5790000.], peaks prominence: [19557.94926372]
pow: 5, freq: 11, 1 freq. peaks: [5970000.], peaks prominence: [6809.91647862]
pow: 5, freq: 12, 1 freq. peaks: [5850000.], peaks prominence: [2573.31246014]
pow: 5, freq: 13, 1 freq. peaks: [1030000.], peaks prominence: [16700.04995442]
pow: 5, freq: 14, 1 freq. peaks: [14190000.], peaks prominence: [16456.25991797]
pow: 5, freq: 15, 1 freq. peaks: [9650000.], peaks prominence: [19018.17014502]
pow: 5, freq: 16, 1 freq. peaks: [5820000.], peaks prominence: [11353.50751766]
pow: 5, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [36.69914377]
pow: 5, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [38.06364598]
pow: 5, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [34.73343525]
pow: 5, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [16.12571488]
pow: 5, freq: 21, 1 freq. peaks: [4.8068e+08], peaks prominence: [12.13553713]
pow: 6, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [73.97205308]
pow: 6, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [71.18682703]
pow: 6, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [35.82670696]
pow: 6, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [41.86144628]
pow: 6, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [40.32776059]
pow: 6, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [75.25861958]
pow: 6, freq: 7, 1 freq. peaks: [9070000.], peaks prominence: [7176.92112887]
pow: 6, freq: 8, 1 freq. peaks: [4160000.], peaks prominence: [19193.57846973]
pow: 6, freq: 9, 1 freq. peaks: [4900000.], peaks prominence: [14252.55004524]
pow: 6, freq: 10, 1 freq. peaks: [5450000.], peaks prominence: [12450.9997908]
pow: 6, freq: 11, 1 freq. peaks: [5550000.], peaks prominence: [9340.58553136]
pow: 6, freq: 12, 1 freq. peaks: [5230000.], peaks prominence: [8599.8473825]
pow: 6, freq: 13, 1 freq. peaks: [16130000.], peaks prominence: [15434.01051257]
pow: 6, freq: 14, 1 freq. peaks: [11970000.], peaks prominence: [24952.10450426]
pow: 6, freq: 15, 1 freq. peaks: [8320000.], peaks prominence: [23106.72432517]
pow: 6, freq: 16, 1 freq. peaks: [5310000.], peaks prominence: [18714.64911954]
pow: 6, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [73.95628455]
pow: 6, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [39.5151534]
pow: 6, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [33.58491931]
pow: 6, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [16.45625396]
pow: 6, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [18.21078207]
pow: 7, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [67.65240934]
pow: 7, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [40.0404827]
pow: 7, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [38.49209238]
pow: 7, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [71.45071343]
pow: 7, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [68.04899067]
pow: 7, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [74.70861132]
pow: 7, freq: 7, 1 freq. peaks: [8610000.], peaks prominence: [7618.5346178]
pow: 7, freq: 8, 1 freq. peaks: [4200000.], peaks prominence: [27848.39004723]
pow: 7, freq: 9, 1 freq. peaks: [4790000.], peaks prominence: [16366.70697192]
pow: 7, freq: 10, 1 freq. peaks: [5190000.], peaks prominence: [11477.38445793]
pow: 7, freq: 11, 1 freq. peaks: [5140000.], peaks prominence: [18596.76049914]
pow: 7, freq: 12, 1 freq. peaks: [1580000.], peaks prominence: [5745.7065596]
pow: 7, freq: 13, 1 freq. peaks: [13550000.], peaks prominence: [15069.32942383]
pow: 7, freq: 14, 1 freq. peaks: [10360000.], peaks prominence: [24837.12533642]
pow: 7, freq: 15, 1 freq. peaks: [7400000.], peaks prominence: [23449.03932987]
pow: 7, freq: 16, 1 freq. peaks: [4950000.], peaks prominence: [19965.11239304]
pow: 7, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [78.40178302]
pow: 7, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [77.98037618]
pow: 7, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [33.45455421]
pow: 7, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [17.55291152]
pow: 7, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [16.72879081]
pow: 8, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [38.46190689]
pow: 8, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [77.44774682]
pow: 8, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [69.7877724]
pow: 8, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [71.40513532]
pow: 8, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [81.45862377]
pow: 8, freq: 6, 1 freq. peaks: [4480000.], peaks prominence: [13273.42320267]
pow: 8, freq: 7, 1 freq. peaks: [12200000.], peaks prominence: [4356.70247973]
pow: 8, freq: 8, 1 freq. peaks: [4520000.], peaks prominence: [28500.25799051]
pow: 8, freq: 9, 1 freq. peaks: [9510000.], peaks prominence: [13770.24349734]
pow: 8, freq: 10, 1 freq. peaks: [4980000.], peaks prominence: [15226.00586976]
pow: 8, freq: 11, 1 freq. peaks: [4780000.], peaks prominence: [9776.80289242]
pow: 8, freq: 12, 1 freq. peaks: [30350000.], peaks prominence: [8659.65597377]
pow: 8, freq: 13, 1 freq. peaks: [11370000.], peaks prominence: [10242.34459049]
pow: 8, freq: 14, 1 freq. peaks: [9020000.], peaks prominence: [19106.58804043]
pow: 8, freq: 15, 1 freq. peaks: [6650000.], peaks prominence: [17337.56764146]
pow: 8, freq: 16, 1 freq. peaks: [4640000.], peaks prominence: [20101.68663758]
pow: 8, freq: 17, 1 freq. peaks: [4000000.], peaks prominence: [94.75351048]
pow: 8, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [72.9106946]
pow: 8, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [36.75764096]
pow: 8, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [18.95567807]
pow: 8, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [16.97469018]
pow: 9, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [40.30664165]
pow: 9, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [70.0199677]
pow: 9, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [69.50207834]
pow: 9, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [74.60348166]
pow: 9, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [66.79989534]
pow: 9, freq: 6, 1 freq. peaks: [4320000.], peaks prominence: [13072.73696604]
pow: 9, freq: 7, 1 freq. peaks: [11530000.], peaks prominence: [4922.09767779]
pow: 9, freq: 8, 1 freq. peaks: [4660000.], peaks prominence: [27213.90658342]
pow: 9, freq: 9, 1 freq. peaks: [4780000.], peaks prominence: [19390.24729451]
pow: 9, freq: 10, 1 freq. peaks: [4810000.], peaks prominence: [16181.27457832]
pow: 9, freq: 11, 1 freq. peaks: [31230000.], peaks prominence: [3670.37925119]
pow: 9, freq: 12, 1 freq. peaks: [23940000.], peaks prominence: [10834.32255255]
pow: 9, freq: 13, 1 freq. peaks: [9560000.], peaks prominence: [15637.48962177]
pow: 9, freq: 14, 1 freq. peaks: [7960000.], peaks prominence: [19038.76341668]
pow: 9, freq: 15, 1 freq. peaks: [6060000.], peaks prominence: [15936.86668574]
pow: 9, freq: 16, 1 freq. peaks: [4320000.], peaks prominence: [10726.52291479]
pow: 9, freq: 17, 1 freq. peaks: [4840000.], peaks prominence: [72.86538929]
pow: 9, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [73.21808063]
pow: 9, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [40.24739565]
pow: 9, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [18.45169015]
pow: 9, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [20.26271859]
pow: 10, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [68.40521069]
